e_ecs_id,SCORE OPERATION/PROCEDURE,SCORE CATEGORY,SCORE CORE/ADVANCED,ecs_lbl
26,Abdominal Exploration,Abdomen - General,CORE,Exploratory laparotomy
22,Abdominal Exploration,Abdomen - General,CORE,Diagnostic laparoscopy +/- biopsy/drainage
168,Abdominal Exploration,Abdomen - General,CORE,"Exploratory laparotomy with repair of volvulus, intussusception, or internal hernia"
23,Peritoneal Dialysis Catheter Insertion,Abdomen - General,CORE,Tunneled intraperitoneal catheter (laparoscopic)
41,Inguinal and Femoral Hernia - Repair,Abdomen - Hernia,CORE,Inguinal hernia repair (laparoscopic)
42,Inguinal and Femoral Hernia - Repair,Abdomen - Hernia,CORE,Recurrent Inguinal hernia repair (laparoscopic)
43,Inguinal and Femoral Hernia - Repair,Abdomen - Hernia,CORE,Inguinal hernia repair (open)
44,Inguinal and Femoral Hernia - Repair,Abdomen - Hernia,CORE,Incacerated/strangulated Inguinal hernia repair (open)
45,Inguinal and Femoral Hernia - Repair,Abdomen - Hernia,CORE,Recurrent Inguinal hernia repair (open)
47,Inguinal and Femoral Hernia - Repair,Abdomen - Hernia,CORE,Femoral hernia repair (open)
48,Inguinal and Femoral Hernia - Repair,Abdomen - Hernia,CORE,Incacerated/strangulated Femoral hernia repair (open)
49,Inguinal and Femoral Hernia - Repair,Abdomen - Hernia,CORE,Recurrent Femoral hernia repair (open)
51,Ventral Hernia - Repair,Abdomen - Hernia,CORE,Ventral hernia repair (open)
52,Ventral Hernia - Repair,Abdomen - Hernia,CORE,Incarcerated/strangulated Ventral hernia repair (open)
53,Ventral Hernia - Repair,Abdomen - Hernia,CORE,Epigastric hernia repair (open)
54,Ventral Hernia - Repair,Abdomen - Hernia,CORE,Incarcerated/strangulated Epigastric hernia repair (open)
56,Ventral Hernia - Repair,Abdomen - Hernia,CORE,Umbilical hernia repair (open)
57,Ventral Hernia - Repair,Abdomen - Hernia,CORE,Incarcerated/strangulated Umbilical hernia repair (open)
758,Ventral Hernia - Repair,Abdomen - Hernia,CORE,Ventral Hernia Repair W/Mesh
759,Ventral Hernia - Repair,Abdomen - Hernia,CORE,Laparoscopic Ventral Hernia Repair (reducible)
760,Ventral Hernia - Repair,Abdomen - Hernia,CORE,Laparoscopic Ventral Hernia Repair (incarcerated)
